Animal_ID,Animal_type,Stroke size,Type,live_cells_0,CD19pos_B220pos_0,CD19pos_B220pos_MHCIIpos_0,CD11cpos_0,CD11bpos_0,mMDSCs_0,gMDSCs_0,Live cells_0,CD3pos_0,CD4pos_0,CD8pos_0,live_cells_7,CD19pos_B220pos_7,CD19pos_B220pos_MHCIIpos_7,CD11cpos_7,CD11bpos_7,mMDSCs_7,gMDSCs_7,Live cells_7,CD3pos_7,CD4pos_7,CD8pos_7,live_cells_28,CD19pos_B220pos_28,CD19pos_B220pos_MHCIIpos_28,CD11cpos_28,CD11bpos_28,mMDSCs_28,gMDSCs_28,Live cells_28,CD3pos_28,CD4pos_28,CD8pos_28
Pound m2 12 095135,WT_male,,%gated,95.2,45.9,96.3,14.2,72.7,10.2,41.8,95.5,83.3,56.8,37.2,,,,,,,,,,,,,,,,,,,,,,
Pound m3 13 095442,WT_male,,%gated,94,42.3,96.9,12.3,82,7.1,53.2,95.4,83.6,55.5,40.2,,,,,,,,,,,,,,,,,,,,,,
Pound m6 16 100833,Pound_male,,%gated,92.7,47,94.9,19.1,65.6,8.3,40.2,94.4,83.3,54.1,40.9,,,,,,,,,,,,,,,,,,,,,,
Pound m4 14 095923,Pound_male,,%gated,95.6,42.9,92.2,12.8,63.1,15.4,49.4,96.2,89.2,51.8,44,,,,,,,,,,,,,,,,,,,,,,
Pound m5 15 100352,WT_male,,%gated,91.3,48.6,96.3,13.2,52.5,20.5,33.7,91.5,76.8,51.5,40.9,,,,,,,,,,,,,,,,,,,,,,
Pound m7 17 101307,Pound_male,,%gated,95.1,40.7,97.2,13.7,66,14.2,54.2,96,85.8,49.4,45.3,,,,,,,,,,,,,,,,,,,,,,
Pound m8 18 101743,Pound_male,,%gated,94.7,36,96.1,14.1,61.3,13.8,47.9,96.1,88.7,51.8,43.5,,,,,,,,,,,,,,,,,,,,,,
Pound m9 19 125151,Pound_male,,%gated,,,,,,,,95,86.8,48.7,46.6,,,,,,,,,,,,,,,,,,,,,,
PLT2 f1 20 102232,PLT2_female,,%gated,89,46.6,97.3,5.3,39.9,10.7,56.9,87.3,73.7,40.8,48.6,,,,,,,,,,,,,,,,,,,,,,
PLT2 f2 21 102514,PLT2_female,,%gated,94,46.3,98.7,10.5,46.7,13.6,47.7,92.6,78.1,42.3,47.6,,,,,,,,,,,,,,,,,,,,,,
PLT2 f3 2 104838,PLT2_female,,%gated,93.2,47.4,98,6.7,57.6,8.3,54.3,92,71.6,49.7,39.3,,,,,,,,,,,,,,,,,,,,,,
PLT2 f4 23 103007,PLT2_female,,%gated,94.9,43.6,98.8,5.9,39.4,10.7,43.8,94.5,76.8,40.8,42.3,,,,,,,,,,,,,,,,,,,,,,
PLT2 f5 5 114838,PLT2_female,,%gated,93.6,49.7,99,9.1,39.5,9.9,41.2,95.5,78.5,48.2,40.3,,,,,,,,,,,,,,,,,,,,,,
PLT2 m1 4 105315,PLT2_male,,%gated,93.3,50.5,98.2,9,50,7.3,56.8,91.7,78,48.6,43.9,,,,,,,,,,,,,,,,,,,,,,
PLT2 m3 5 105750,PLT2_male,,%gated,92.8,49,96.9,7.6,43.4,12.3,49.8,94.1,77.4,44,48.3,,,,,,,,,,,,,,,,,,,,,,
PLT2 m4 6 110158,PLT2_male,,%gated,92.6,48.1,97,8.8,40.7,13.6,45.4,,,,,,,,,,,,,,,,,,,,,,,,,,
PLT2 m5 7 110610,PLT2_male,,%gated,91.7,46.9,97.5,9.2,40.4,14.1,43.9,90.6,76.7,50.3,42.8,,,,,,,,,,,,,,,,,,,,,,
PLT2 m2 26 103502,PLT2_male,,%gated,94,52.3,97.2,11.5,53.4,12.5,48.8,93.8,77.4,48,44.1,,,,,,,,,,,,,,,,,,,,,,
PLT2 m1-11,PLT2_male,4.23864,Number,,,,,,,,,,,,174931,84893,63069,901,16539,4470,9182,277600,66242,30258,30657,,,,,,,,,,,
PLT2 m2-12,PLT2_male,3.32694,Number,,,,,,,,,,,,214912,89200,66359,1473,30479,9351,15763,134308,28125,11827,13804,,,,,,,,,,,
PLT2 m3-13,PLT2_male,5.65362,Number,,,,,,,,,,,,184582,91112,68899,1125,11595,3307,5808,243733,52437,24768,24356,,,,,,,,,,,
PLT2 male4-3,PLT2_male,2.9601,Number,,,,,,,,,,,,178199,65371,64737,10041,34294,9309,20232,219157,36823,13673,18133,,,,,,,,,,,
PLT2 male6-5,PLT2_male,3.501,Number,,,,,,,,,,,,234732,98423,97267,9810,37497,8760,23340,244357,53261,20107,23284,,,,,,,,,,,
PLT2 f1-14,PLT2_female,4.14864,Number,,,,,,,,,,,,16176,6422,5182,120,921,240,365,271852,61442,24292,31256,,,,,,,,,,,
PLT2 f2-15,PLT2_female,3.27042,Number,,,,,,,,,,,,284148,120260,92918,1500,35608,7381,22834,168517,36367,17163,15103,,,,,,,,,,,
PLT2 f3-16,PLT2_female,2.95362,Number,,,,,,,,,,,,58923,25910,19906,310,3930,919,2178,160544,53104,24502,23450,,,,,,,,,,,
PLT2 f4-17,PLT2_female,4.99554,Number,,,,,,,,,,,,169938,87649,67420,773,10058,2034,5139,146907,30581,14058,13931,,,,,,,,,,,
PLT2 f5-18,PLT2_female,3.51684,Number,,,,,,,,,,,,279393,122542,96949,2397,30461,7692,17532,246467,54588,22771,26025,,,,,,,,,,,
Pound f1-6,Pound_female,1.47744,Number,,,,,,,,,,,,254396,119261,115044,6520,21649,8694,9083,191446,54022,20450,29574,,,,,,,,,,,
Pound f2-7,Pound_female,2.49894,Number,,,,,,,,,,,,299347,136776,134080,6486,15849,4684,7188,309159,99257,41312,51279,,,,,,,,,,,
Pound f3-8,Pound_female,1.29222,Number,,,,,,,,,,,,238669,112441,110892,6845,16947,5759,7133,266279,56990,23941,27361,,,,,,,,,,,
10-Pound m1 fat (2)-2016-10-25-195852,Pound_male,1.92312,Number,,,,,,,,,,,,72698,30132,29398,1127,5455,2630,2689,74127,24079,11790,9657,,,,,,,,,,,
4-Pound m2 fat (2)-2016-10-25-182255,Pound_male,2.83752,Number,,,,,,,,,,,,242845,117799,110120,3650,11823,4343,6084,133931,47556,21824,18603,,,,,,,,,,,
5-Pound m3 fat (2)-2016-10-25-182554,Pound_male,3.26412,Number,,,,,,,,,,,,240104,112766,106753,6011,20845,6368,13631,125489,37170,14589,20602,,,,,,,,,,,
9-Pound m4 WT (2)-2016-10-25-192315,WT_male,1.98666,Number,,,,,,,,,,,,127280,63695,60235,2416,4113,1509,2135,115713,43622,24490,16809,,,,,,,,,,,
7-Pound f1 fat (3)-2016-10-25-182901,Pound_female,2.03004,Number,,,,,,,,,,,,226180,88524,85915,4015,18863,8707,10560,83343,30248,12785,15546,,,,,,,,,,,
9-Pound f3 WT (4)-2016-10-25-183706,WT_female,3.25494,Number,,,,,,,,,,,,237669,114020,112035,4272,31075,11516,19521,158548,37069,20162,11959,,,,,,,,,,,
10-Pound f4 WT (4)-2016-10-25-184110,WT_female,3.37554,Number,,,,,,,,,,,,100627,51858,51000,2395,10226,3048,6128,135311,22419,12369,7400,,,,,,,,,,,
11-Pound f5 WT (4)-2016-10-25-184547,WT_female,5.95602,Number,,,,,,,,,,,,93841,39177,38471,1483,3527,1192,1790,74292,34110,18008,14035,,,,,,,,,,,
12-Pound f6 WT (4)-2016-10-25-185016,WT_female,3.8682,Number,,,,,,,,,,,,69204,32436,31758,1617,4652,1631,2645,64047,17663,8976,7205,,,,,,,,,,,
13-Pound f7 WT (5)-2016-10-25-185457,WT_female,4.7826,Number,,,,,,,,,,,,105103,43242,42003,1951,5126,1346,2657,93695,41523,21855,16838,,,,,,,,,,,
10-Pound f9 WT (5)-2016-10-25-192744,WT_female,6.99426,Number,,,,,,,,,,,,45699,16737,16423,728,1930,513,883,90900,26874,12360,11390,,,,,,,,,,,
3-Pound m1 fat (1)-2016-10-27-181739,Pound_male,2.04084,Number,,,,,,,,,,,,114294,41567,39815,13021,11095,2926,8407,126978,56905,22604,28007,,,,,,,,,,,
4-Pound m2 fat (1)-2016-10-27-182216,Pound_male,2.0421,Number,,,,,,,,,,,,104488,42532,40754,6515,4860,1816,3100,128148,64365,28035,33298,,,,,,,,,,,
5-PLT2 f1 (6)-2016-10-27-182651,PLT2_female,4.64724,Number,,,,,,,,,,,,118556,57782,56016,7075,5522,1668,3456,127984,51201,22625,15416,,,,,,,,,,,
11-PLT2 f2(6)-2016-10-27-190950,PLT2_female,6.6582,Number,,,,,,,,,,,,187601,90931,88514,15795,12589,3115,8856,140782,37253,17977,15245,,,,,,,,,,,
7-PLT2 f3 (6)-2016-10-27-183141,PLT2_female,5.63958,Number,,,,,,,,,,,,151887,79848,74702,11386,9799,2367,6363,133219,41233,20249,15162,,,,,,,,,,,
12-PLT2 f4 (7)-2016-10-27-191425,PLT2_female,3.72852,Number,,,,,,,,,,,,125822,66813,65391,10151,8757,2138,5932,152132,45789,20464,18177,,,,,,,,,,,
9-PLT2 f5 (7)-2016-10-27-183630,PLT2_female,7.15806,Number,,,,,,,,,,,,160978,88578,86527,10438,8815,2275,5522,141549,39922,17758,17275,,,,,,,,,,,
13-PLT2 f6 (7)-2016-10-27-191900,PLT2_female,4.87674,Number,,,,,,,,,,,,82009,39353,38663,5690,4560,1153,3087,116224,39353,19417,13906,,,,,,,,,,,
13-PLT2 m3 (8)-2016-10-27-185031,PLT2_male,5.98266,Number,,,,,,,,,,,,109341,62354,60704,8574,7167,1464,4708,110157,20442,9210,9068,,,,,,,,,,,
WT1 10 164949,WT_male,5.31846,Number,,,,,,,,,,,,229268,92070,90671,6377,27006,6782,15458,134570,52799,24330,22736,,,,,,,,,,,
WT2 11 165346,WT_male,3.94074,Number,,,,,,,,,,,,116369,44308,43263,3066,9375,1639,5361,89870,39232,18938,16158,,,,,,,,,,,
WT3 12 165734,WT_male,2.73816,Number,,,,,,,,,,,,101146,34921,34253,3935,10673,2579,5331,112443,44320,19174,20434,,,,,,,,,,,
WT5 14 170351,WT_male,4.71348,Number,,,,,,,,,,,,90246,36749,36184,2922,7413,1369,4246,5111,1966,831,949,,,,,,,,,,,
PLT2 m1-11,PLT2_male,4.23864,%gated,,,,,,,,,,,,98.9,48.5,74.3,3.3,59.9,27,55.5,98.8,54.1,45.7,46.3,,,,,,,,,,,
PLT2 m2-12,PLT2_male,3.32694,%gated,,,,,,,,,,,,98.7,41.5,74.4,3.1,64.5,30.7,51.7,98.4,46.5,42.1,49.1,,,,,,,,,,,
PLT2 m3-13,PLT2_male,5.65362,%gated,,,,,,,,,,,,98.9,49.4,75.6,4.2,43.4,28.5,50.1,98.4,55.2,47.2,46.4,,,,,,,,,,,
PLT2 male4-3,PLT2_male,2.9601,%gated,,,,,,,,,,,,98.4,36.7,99,15.4,52.5,27.1,59,97.9,31.2,37.1,49.2,,,,,,,,,,,
PLT2 male6-5,PLT2_male,3.501,%gated,,,,,,,,,,,,98.4,41.9,98.8,15.2,58.2,23.4,62.2,97.6,50.1,37.8,43.7,,,,,,,,,,,
PLT2 f1-14,PLT2_female,4.14864,%gated,,,,,,,,,,,,98.8,39.7,80.7,3.5,26.8,26.1,39.6,98.3,50.8,39.5,50.9,,,,,,,,,,,
