mouse,type,stroke_size
10-Pound f9 WT (5)-2016-10-25-192744,WT_female,6.99426
3-Pound m1 fat (1)-2016-10-27-181739,Pound_male,2.04084
4-Pound m2 fat (1)-2016-10-27-182216,Pound_male,2.0421
5-PLT2 f1 (6)-2016-10-27-182651,PLT2_female,4.64724
11-PLT2 f2(6)-2016-10-27-190950,PLT2_female,6.6582
7-PLT2 f3 (6)-2016-10-27-183141,PLT2_female,5.63958
12-PLT2 f4 (7)-2016-10-27-191425,PLT2_female,3.72852
9-PLT2 f5 (7)-2016-10-27-183630,PLT2_female,7.15806
13-PLT2 f6 (7)-2016-10-27-191900,PLT2_female,4.87674
13-PLT2 m3 (8)-2016-10-27-185031,PLT2_male,5.98266
WT1 10 164949,WT_male,5.31846
WT2 11 165346,WT_male,3.94074
WT3 12 165734,WT_male,2.73816
WT5 14 170351,WT_male,4.71348
