animal_id,animal_type,stroke_size,ds
M PLT2 male 1 (1)-3,PLT2_male,0.4896,blood
M PLT2 male 2 (2)-4,PLT2_male,1.71576,blood
M PLT2 male 3 (3)-5,PLT2_male,2.84736,blood
M PLT2 male 4 (4)-6,PLT2_male,5.78448,blood
M PLT2 male 5 (11)-7,PLT2_male,4.97544,blood
M Pound male2 WT (6)-9,WT_male,2.84544,blood
M Pound male4 WT (8)-15,WT_male,5.02944,blood
M Pound male 3 fat (7)-10,Pound_male,1.80672,blood
M pound male5 fat (9),Pound_male,3.12936,blood
M PLT2 female2 (13)-19,PLT2_female,7.23624,blood
M Pound female1 fat (14)-20,Pound_female,2.64768,blood
M Pound female2 fat (15)-21,Pound_female,1.7988,blood
PLT2 male 1 (1)-6-2016-09-07,PLT2_male,5.29656,blood
PLT2 male 2 (2)-7-2016-09-07,PLT2_male,3.2772,blood
PLT2 male4 (9)-9-2016-09-07,PLT2_male,2.62536,blood
PLT2 male 5 (10),PLT2_male,2.84256,blood
Pound male fat1 (4)-11-2016-09-07,Pound_male,2.41368,blood
Pound male fat2 (5)-12-2016-09-07,Pound_male,2.2128,blood
Pound male fat4 (7)-14-2016-09-07,Pound_male,1.14432,blood
Pound male WT1 (3)-15-2016-09-07,WT_male,6.20208,blood
Pound female fat1 (12)-17-2016-09-07,Pound_female,3.60168,blood
Pound female fat2 (13)-18-2016-09-07,Pound_female,0.50736,blood
Pound female WT1 (14)-20-2016-09-07,WT_female,7.48848,blood
Pound female WT2 (16)-21-2016-09-07,WT_female,4.01784,blood
met 1#2 female WT,WT_female,4.2132,blood
met 1#4 female fat (small stroke 0.8),Pound_female,0.8148,blood
met 2#1 female fat,Pound_female,1.95984,blood
met 4#1 PLT2,PLT2_female,5.47224,blood
met 4#2 PLT2,PLT2_female,6.48552,blood
met 4#3 PLT2,PLT2_female,4.7004,blood
met 2#2 female fat,Pound_female,1.60992,blood
met 2#3 female WT,WT_female,1.12632,blood
met 2#4 female WT,WT_female,2.09472,blood
met 4#4 PLT2,PLT2_female,3.74064,blood
3-Pound m1 fat (2)62937,Pound_male,1.92312,bm
4-Pound m2 fat (2)63412,Pound_male,2.83752,bm
5-Pound m3 fat (2)63848,Pound_male,3.26412,bm
6-Pound m4 WT (2)64323,WT_male,1.98666,bm
7-Pound f1 fat (3)64759,Pound_female,2.03004,bm
9-Pound f3 WT (4)65640,WT_female,3.25494,bm
1-Pound f4 WT (4)80906,WT_female,3.37554,bm
11-Pound f5 WT (4)70130,WT_female,5.95602,bm
12-Pound f6 WT (4)70619,WT_female,3.8682,bm
13-Pound f7 WT (5)71056,WT_female,4.7826,bm
15-Pound f9 WT (5)72006,WT_female,6.99426,bm
3-Pound m1 fat (1)71612,Pound_male,2.04084,bm
7-Pound m2 fat (1)80722,Pound_male,2.0421,bm
5-PLT2 f1 (6)72104,PLT2_female,4.64724,bm
6-PLT2 f2(6)72538,PLT2_female,6.6582,bm
7-PLT2 f3 (6)73015,PLT2_female,5.63958,bm
8-PLT2 f4 (7)73449,PLT2_female,3.72852,bm
9-PLT2 f5 (7)73909,PLT2_female,7.15806,bm
10-PLT2 f6 (7)74345,PLT2_female,4.87674,bm
7-PLT2 m3 (8)80234,PLT2_male,5.98266,bm
PLT2 m1-11,PLT2_male,4.23864,bm
PLT2 m2-12,PLT2_male,3.32694,bm
PLT2 m3-13,PLT2_male,5.65362,bm
PLT2 m4-3,PLT2_male,2.9601,bm
PLT2 m6-5,PLT2_male,3.501,bm
PLT2 f1-14,PLT2_female,4.14864,bm
PLT2 f2-15,PLT2_female,3.27042,bm
PLT2 f3-16,PLT2_female,2.95362,bm
PLT2 f4-17,PLT2_female,4.99554,bm
PLT2 f5-18,PLT2_female,3.51684,bm
Pound female1-6,Pound_female,1.47744,bm
Pound female2-7,Pound_female,2.49894,bm
Pound female 3-8,Pound_female,1.29222,bm
WT1 10 164949,WT_male,5.31846,bm
WT2 11 165346,WT_male,3.94074,bm
WT3 12 165734,WT_male,2.73816,bm
WT5 14 170351,WT_male,4.71348,bm
PLT2 m1-11,PLT2_male,4.23864,spleen
PLT2 m2-12,PLT2_male,3.32694,spleen
PLT2 m3-13,PLT2_male,5.65362,spleen
PLT2 male4-3,PLT2_male,2.9601,spleen
PLT2 male6-5,PLT2_male,3.501,spleen
PLT2 f1-14,PLT2_female,4.14864,spleen
PLT2 f2-15,PLT2_female,3.27042,spleen
PLT2 f3-16,PLT2_female,2.95362,spleen
PLT2 f4-17,PLT2_female,4.99554,spleen
PLT2 f5-18,PLT2_female,3.51684,spleen
Pound f1-6,Pound_female,1.47744,spleen
Pound f2-7,Pound_female,2.49894,spleen
Pound f3-8,Pound_female,1.29222,spleen
10-Pound m1 fat (2)-2016-10-25-195852,Pound_male,1.92312,spleen
4-Pound m2 fat (2)-2016-10-25-182255,Pound_male,2.83752,spleen
5-Pound m3 fat (2)-2016-10-25-182554,Pound_male,3.26412,spleen
9-Pound m4 WT (2)-2016-10-25-192315,WT_male,1.98666,spleen
7-Pound f1 fat (3)-2016-10-25-182901,Pound_female,2.03004,spleen
9-Pound f3 WT (4)-2016-10-25-183706,WT_female,3.25494,spleen
10-Pound f4 WT (4)-2016-10-25-184110,WT_female,3.37554,spleen
11-Pound f5 WT (4)-2016-10-25-184547,WT_female,5.95602,spleen
12-Pound f6 WT (4)-2016-10-25-185016,WT_female,3.8682,spleen
13-Pound f7 WT (5)-2016-10-25-185457,WT_female,4.7826,spleen
10-Pound f9 WT (5)-2016-10-25-192744,WT_female,6.99426,spleen
3-Pound m1 fat (1)-2016-10-27-181739,Pound_male,2.04084,spleen
4-Pound m2 fat (1)-2016-10-27-182216,Pound_male,2.0421,spleen
5-PLT2 f1 (6)-2016-10-27-182651,PLT2_female,4.64724,spleen
11-PLT2 f2(6)-2016-10-27-190950,PLT2_female,6.6582,spleen
7-PLT2 f3 (6)-2016-10-27-183141,PLT2_female,5.63958,spleen
12-PLT2 f4 (7)-2016-10-27-191425,PLT2_female,3.72852,spleen
9-PLT2 f5 (7)-2016-10-27-183630,PLT2_female,7.15806,spleen
13-PLT2 f6 (7)-2016-10-27-191900,PLT2_female,4.87674,spleen
13-PLT2 m3 (8)-2016-10-27-185031,PLT2_male,5.98266,spleen
WT1 10 164949,WT_male,5.31846,spleen
WT2 11 165346,WT_male,3.94074,spleen
WT3 12 165734,WT_male,2.73816,spleen
WT5 14 170351,WT_male,4.71348,spleen
