Animal_ID,Animal_type,Stroke size,Type,live_cells_0,live_cells_3,live_cells_10,live_cells_17,live_cells_24,CD3pos_0,CD3pos_3,CD3pos_10,CD3pos_17,CD3pos_24,CD8pos_0,CD8pos_3,CD8pos_10,CD8pos_17,CD8pos_24,CD4pos_0,CD4pos_3,CD4pos_10,CD4pos_17,CD4pos_24,,
,,,,,,,,,,,,,,,,,,,,,,,,,
T PLT2 male1 (1),PLT2_male,0.4896,%Gated,97.2,94.7,98,96.1,92.4,34.2,38.8,30.9,31.5,41.4,47.2,48.5,44,40.6,47.4,39.9,41.6,46.2,51.7,43.2,,
T PLT2 male 2 (2),PLT2_male,1.71576,%Gated,91.9,96.6,97,96.6,95.5,42,36.6,31.5,31.1,30,46.5,48.8,46.3,49.9,48.2,39.1,44.5,46.4,42.6,42.9,,
T PLT2 male3 (3),PLT2_male,2.84736,%Gated,95.6,95.6,97.2,96.7,95.2,44.9,41.8,33.3,42.2,43.5,50.9,51.1,44.9,49.9,50.1,39.2,40.4,46.9,43.9,40.6,,
T PLT2 male4 (4),PLT2_male,5.78448,%Gated,96.5,94.3,97.2,96.2,94.3,38,41.1,41.2,42,49.7,44.1,44.4,43,44.6,44.2,47.3,48.3,51.6,49,47.4,,
T PLT2 male5 (11),PLT2_male,4.97544,%Gated,96.2,83.9,,,,48.2,26.1,,,,35.5,34,,,,57.4,57.1,,,,,
T Pound male2 WT (6),WT_male,2.84544,%Gated,97.8,88.3,97.4,93.1,95.6,36.2,54.7,47.5,47.5,48.4,35.8,0,37.7,37.5,38.9,57.8,0,57.4,57.8,56.4,,
T pound male4 WT fat (7),WT_male,5.02944,%Gated,94.4,94.8,96,93.5,96.3,23.3,22.4,29.4,15.3,18.4,34.6,50,47.6,43.6,48.9,51.8,43.1,46.5,44.5,39.3,,
T pound male3 fat (7),Pound_male,1.80672,%Gated,95.7,87.4,90,95.1,90.7,22.6,25.4,15.8,23.3,19.3,41.3,41.6,37.4,49,40.8,45.1,46.8,52.1,43.6,45.5,,
T pound male5 fat (9),Pound_male,3.12936,%Gated,96.1,97.2,96,94.7,94.2,34.6,38.9,22.7,18.4,26.6,42.4,47.5,43.3,43.8,43.4,50,47.2,52.6,48.8,48.6,,
T Pound male6 fat (10),Pound_male,died,%Gated,96.6,,,,,28,,,,,42.3,,,,,46.1,,,,,,
T PLT2 female2 (13),PLT2_female,7.23624,%Gated,95.1,93.8,97,95.3,96.4,39.6,32.2,36.7,37.1,36.7,46.5,49.3,50,52.5,50.1,40,39.6,39.5,39.5,41.8,,
T Pound female1 fat (14),Pound_female,2.64768,%Gated,93.5,92.4,90.7,90.2,92.7,32.9,40.2,28.8,20.5,22.1,36.4,42,41.6,39.4,40.1,55.8,52.5,52.1,53.1,51.7,,
T POund female2 fat (15),Pound_female,1.7988,%Gated,95.1,96.2,96.9,90.8,93.6,28.2,25.8,28.5,10.1,8.9,35.3,44.3,45.2,35.3,35.3,54.7,47.6,47.9,52.6,53,,
T Pound female 3 fat (16),Pound_female,died,%Gated,91.1,94,,,,38.9,6.3,,,,29.5,46.8,,,,60.7,31.6,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
PLT2 male 1 (1),PLT2_male,5.29656,%Gated,94.8,94.9,,,,35.7,37.7,,,,37.4,37.5,,,,48.3,45,,,,,
PLT2 male 2 (2),PLT2_male,3.2772,%Gated,94.8,95.1,,,,46.3,47.6,,,,36.4,36.8,,,,53.6,52.8,,,,,
PLT2 male4 (9),PLT2_male,2.62536,%Gated,96.5,96.8,94.1,96.6,96.5,46.5,48.3,43.3,37.2,41.6,34.5,34,35.9,45.1,33.1,57.1,55.5,59.9,48,49.6,,
PLT2 male 5 (10),PLT2_male,2.84256,%Gated,96.3,96.6,81.6,,,21.7,22.7,13.3,,,36.4,36.1,34.5,,,46.7,45.3,55.6,,,,
Pound male fat1 (4),Pound_male,2.41368,%Gated,95.2,95.5,96.9,96.8,,33.9,34.6,20.7,9.6,,27.3,28.3,47.3,55.3,,60.6,60.2,44.6,36.4,,,
Pound male fat2 (5),Pound_male,2.2128,%Gated,95.9,96.2,86.8,97.2,,21.3,22.3,6.2,16.5,,31.9,33.2,41.5,45.3,,55.6,53.9,49,44.6,,,
Pound male fat3 (6),Pound_male,died,%Gated,88.9,89.7,92.5,,,19.2,30.5,18.3,,,26.2,25.8,48.8,,,56.8,37.5,46.2,,,,
Pound male fat4 (7),Pound_male,1.14432,%Gated,92.9,93.3,,,,21.4,22.5,,,,29.4,29.9,,,,51,49.4,,,,,
Pound male WT1 (3),WT_male,6.20208,%Gated,91.9,92.6,,97.4,,34.3,35.4,,25.7,,32.3,32.6,,52.2,,52.7,51.7,,39.5,,,
Pound male WT2 (11),WT_male,died,%Gated,92.6,93.2,,,,17.9,18.6,,,,37.8,38,,,,41.8,41.1,,,,,
Pound female fat1 (12),Pound_female,3.60168,%Gated,91.1,91.8,91.6,97.4,92.5,31.6,32.9,6.1,8,19.8,31.9,31.2,44.1,50,28.6,52.3,51.1,42.8,38.9,29,,
Pound female fat2 (13),Pound_female,0.50736,%Gated,93.7,94.1,94.1,95,96.7,17.7,18.5,22.9,18.3,24.6,34.5,34.6,49.4,46.8,29.4,49,47.5,46.6,42.4,35.3,,
Pound female fat3 (15),Pound_female,died,%Gated,87.2,87.8,,,,28.5,29.7,,,,28.7,29.9,,,,50.1,49.5,,,,,
Pound female WT1 (14),WT_female,7.48848,%Gated,89.2,95.1,,,,42,30,,,,30,34.3,,,,57.8,51.2,,,,,
Pound female WT2 (16),WT_female,4.01784,%Gated,,90,,,,,43.7,,,,,29.3,,,,,57.2,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
met 1#2 female WT,WT_female,4.2132,%Gated,,98.2,96.6,91.3,99.2,,32.8,51.2,51.8,15.9,,39.8,41.5,42.1,39.6,,53.3,54.3,38.2,53.7,,
met 1#4 female fat (small stroke 0.8),Pound_female,0.8148,%Gated,,98.8,97.6,86.6,98.7,,3.6,25.3,27.9,18.7,,29,42.5,41,28.4,,48.2,51,46,61.2,,
met 2#1 female fat,Pound_female,1.95984,%Gated,,97.9,99.2,83,98.9,,21.6,2.2,14.8,5.5,,42.7,30.6,46.7,29.1,,41.7,32.7,0.1,45.1,,
met 4#1 PLT2,PLT2_female,5.47224,%Gated,,99.3,84.5,91,99.7,,11.5,12.4,32.9,6.5,,41.4,28.5,45.9,42.3,,45.6,40,20.9,43.5,,
met 4#2 PLT2,PLT2_female,6.48552,%Gated,,71.9,,83.9,98.9,,18.2,,36.5,20,,41.6,,42.3,43.4,,43.4,,21.4,43.7,,
met 4#3 PLT2,PLT2_female,4.7004,%Gated,,90,,91.3,96.8,,35.1,,49,28.3,,40.3,,44.6,37.6,,50.3,,33.5,45.2,,
met 2#2 female fat,Pound_female,1.60992,%Gated,,99.5,80.1,95.8,97.9,,8.3,16.3,12.8,9,,34.3,49.1,57.8,10.9,,60.1,8,33.2,6.9,,
met 2#3 female WT,WT_female,1.12632,%Gated,,99.8,99.4,97.8,99.6,,2.3,45.4,32.2,3.6,,42.4,59.3,44.3,3,,53.9,40.1,47.2,3.2,,
met 2#4 female WT,WT_female,2.09472,%Gated,,97.8,98.4,98.3,99.7,,26.3,56,26,1.7,,28.3,59.8,48.9,1.8,,68.5,39.4,42.3,1.5,,
met 3#4 female WT,WT_female,,%Gated,,98.5,98.9,90.7,98.3,,15,58.7,28.4,24.2,,33.8,50.3,38.7,12.9,,57.3,46.4,54.5,17.1,,
met 4#4 PLT2,PLT2_female,3.74064,%Gated,,99.7,94.4,89,94.1,,3.6,22,25.1,19.4,,40.4,53.4,36.3,9.8,,44.4,38.1,41.7,11.5,,
