Animal_ID,Animal_type,Stroke size,Type,live_cells_0,CD19pos_B220pos_0,CD19pos_B220pos_MHCIIpos_0,CD11cpos_0,CD11bpos_0,mMDSCs_0,gMDSCs_0,,live_cells_7,CD19pos_B220pos_7,CD19pos_B220pos_MHCIIpos_7,CD11cpos_7,CD11bpos_7,mMDSCs_7,gMDSCs_7,,live_cells_28,CD19pos_B220pos_28,CD19pos_B220pos_MHCIIpos_28,CD11cpos_28,CD11bpos_28,mMDSCs_28,gMDSCs_28
PLT2 f3 23 221319,PLT2_female,,%gated,98.3,21.5,73.1,2.3,95.7,21.7,75.5,,,,,,,,,,,,,,,,
PLT2 f4 8 224115,PLT2_female,,%gated,97.9,17.9,77.5,2.5,91.5,24.7,71.2,,,,,,,,,,,,,,,,
PLT2 f5 9 224459,PLT2_female,,%gated,97.3,22.7,82.6,2.7,91.6,21.1,74.8,,,,,,,,,,,,,,,,
PLT2 m1 26 221715,PLT2_male,,%gated,98.4,21.3,77.1,1.9,89.6,20.4,76.8,,,,,,,,,,,,,,,,
PLT2 m2 10 224828,PLT2_male,,%gated,98.2,17.1,74.1,2,93.3,20.9,75.9,,,,,,,,,,,,,,,,
PLT2 m3 28 222109,PLT2_male,,%gated,98.4,23.6,72.5,2.3,92.5,19.2,77.8,,,,,,,,,,,,,,,,
PLT2 m4 11 225111,PLT2_male,,%gated,98.2,20.3,67.7,2.1,93.1,21.7,75,,,,,,,,,,,,,,,,
PLT2 m5 30 222450,PLT2_male,,%gated,98.3,18.4,75.2,2.1,93.2,19.3,77.9,,,,,,,,,,,,,,,,
3-Pound m1 fat (2)62937,Pound_male,1.92312,Number,,,,,,,,,189561,5003,4806,2100,163022,43560,113044,,,,,,,,
4-Pound m2 fat (2)63412,Pound_male,2.83752,Number,,,,,,,,,177167,5431,5218,2399,141721,30683,103112,,,,,,,,
5-Pound m3 fat (2)63848,Pound_male,3.26412,Number,,,,,,,,,155177,7041,6816,1759,130638,27138,99388,,,,,,,,
6-Pound m4 WT (2)64323,WT_male,1.98666,Number,,,,,,,,,202979,22862,20483,4132,147552,31641,110339,,,,,,,,
7-Pound f1 fat (3)64759,Pound_female,2.03004,Number,,,,,,,,,116018,3455,3220,1080,99168,21840,73118,,,,,,,,
9-Pound f3 WT (4)65640,WT_female,3.25494,Number,,,,,,,,,203189,5725,5359,2268,174620,37042,132209,,,,,,,,
1-Pound f4 WT (4)80906,WT_female,3.37554,Number,,,,,,,,,117140,982,847,1379,102969,20321,79033,,,,,,,,
11-Pound f5 WT (4)70130,WT_female,5.95602,Number,,,,,,,,,222738,17931,14155,4224,160818,36388,119463,,,,,,,,
12-Pound f6 WT (4)70619,WT_female,3.8682,Number,,,,,,,,,158049,6894,6349,2748,126797,25153,98129,,,,,,,,
13-Pound f7 WT (5)71056,WT_female,4.7826,Number,,,,,,,,,178215,10819,9212,3190,140088,27433,107949,,,,,,,,
15-Pound f9 WT (5)72006,WT_female,6.99426,Number,,,,,,,,,196860,2605,1932,3633,161878,34927,121667,,,,,,,,
3-Pound m1 fat (1)71612,Pound_male,2.04084,Number,,,,,,,,,197258,11312,11222,10823,169433,24062,141759,,,,,,,,
7-Pound m2 fat (1)80722,Pound_male,2.0421,Number,,,,,,,,,153518,11661,11596,7798,121877,18847,98978,,,,,,,,
5-PLT2 f1 (6)72104,PLT2_female,4.64724,Number,,,,,,,,,229289,25771,23779,21163,163587,35093,122256,,,,,,,,
6-PLT2 f2(6)72538,PLT2_female,6.6582,Number,,,,,,,,,217048,15158,14753,19289,172521,32732,133477,,,,,,,,
7-PLT2 f3 (6)73015,PLT2_female,5.63958,Number,,,,,,,,,174435,20493,18808,14766,128190,25313,98150,,,,,,,,
8-PLT2 f4 (7)73449,PLT2_female,3.72852,Number,,,,,,,,,247281,25369,23117,22207,172987,34133,132459,,,,,,,,
9-PLT2 f5 (7)73909,PLT2_female,7.15806,Number,,,,,,,,,255179,29523,26334,17634,176027,34144,135028,,,,,,,,
10-PLT2 f6 (7)74345,PLT2_female,4.87674,Number,,,,,,,,,236244,25898,23905,18244,166414,35216,124426,,,,,,,,
7-PLT2 m3 (8)80234,PLT2_male,5.98266,Number,,,,,,,,,198976,15510,14868,25216,160102,30725,124552,,,,,,,,
PLT2 m1-11,PLT2_male,4.23864,Number,,,,,,,,,225567,9231,8215,2033,173387,28928,129853,,,,,,,,
PLT2 m2-12,PLT2_male,3.32694,Number,,,,,,,,,370465,11951,10761,2921,287699,47404,216592,,,,,,,,
PLT2 m3-13,PLT2_male,5.65362,Number,,,,,,,,,239112,11455,10447,2622,172024,29854,126238,,,,,,,,
PLT2 m4-3,PLT2_male,2.9601,Number,,,,,,,,,411448,17032,16655,4429,336064,54682,252757,,,,,,,,
PLT2 m6-5,PLT2_male,3.501,Number,,,,,,,,,200096,11406,11149,2080,159186,25804,116198,,,,,,,,
PLT2 f1-14,PLT2_female,4.14864,Number,,,,,,,,,183053,6041,5336,1773,132758,18509,98815,,,,,,,,
PLT2 f2-15,PLT2_female,3.27042,Number,,,,,,,,,283748,12895,11223,2518,211311,29771,165461,,,,,,,,
PLT2 f3-16,PLT2_female,2.95362,Number,,,,,,,,,189535,9240,7877,1683,120612,15317,94940,,,,,,,,
PLT2 f4-17,PLT2_female,4.99554,Number,,,,,,,,,401169,22625,19067,3731,273601,38537,211998,,,,,,,,
PLT2 f5-18,PLT2_female,3.51684,Number,,,,,,,,,164868,5723,5075,1606,114208,12021,92427,,,,,,,,
Pound female1-6,Pound_female,1.47744,Number,,,,,,,,,136290,7010,6816,1180,107718,18136,74030,,,,,,,,
Pound female2-7,Pound_female,2.49894,Number,,,,,,,,,111519,10374,10053,1146,69937,10457,47527,,,,,,,,
Pound female 3-8,Pound_female,1.29222,Number,,,,,,,,,29606,1826,1778,227,20697,3309,14338,,,,,,,,
WT1 10 164949,WT_male,5.31846,Number,,,,,,,,,121302,5149,4198,1496,106078,16869,86541,,,,,,,,
WT2 11 165346,WT_male,3.94074,Number,,,,,,,,,92872,7294,5521,1367,76839,13864,60867,,,,,,,,
WT3 12 165734,WT_male,2.73816,Number,,,,,,,,,58055,3516,2842,1064,48783,7668,39687,,,,,,,,
WT5 14 170351,WT_male,4.71348,Number,,,,,,,,,296538,20024,15582,4752,247359,40117,200957,,,,,,,,
3-Pound m1 fat (2)62937,Pound_male,1.92312,%gated,,,,,,,,,99.7,2.6,96.1,1.2,92.4,26.7,69.3,,,,,,,,
4-Pound m2 fat (2)63412,Pound_male,2.83752,%gated,,,,,,,,,99.3,3.1,96.1,1.5,87.2,21.7,72.8,,,,,,,,
5-Pound m3 fat (2)63848,Pound_male,3.26412,%gated,,,,,,,,,99.3,4.5,96.8,1.3,94.1,20.8,76.1,,,,,,,,
6-Pound m4 WT (2)64323,WT_male,1.98666,%gated,,,,,,,,,99.3,11.3,89.6,2.5,90.2,21.4,74.8,,,,,,,,
7-Pound f1 fat (3)64759,Pound_female,2.03004,%gated,,,,,,,,,99.1,10.3,97.5,2.7,88.7,23.1,71.4,,,,,,,,
9-Pound f3 WT (4)65640,WT_female,3.25494,%gated,,,,,,,,,99.6,2.8,93.6,1.2,94.1,21.2,75.7,,,,,,,,
1-Pound f4 WT (4)80906,WT_female,3.37554,%gated,,,,,,,,,99.4,0.8,86.3,1.2,93.1,19.7,76.8,,,,,,,,
11-Pound f5 WT (4)70130,WT_female,5.95602,%gated,,,,,,,,,99.4,8.1,78.9,2.4,89.5,22.6,74.3,,,,,,,,
12-Pound f6 WT (4)70619,WT_female,3.8682,%gated,,,,,,,,,99.5,4.4,92.1,2,90.7,19.8,77.4,,,,,,,,
13-Pound f7 WT (5)71056,WT_female,4.7826,%gated,,,,,,,,,99.4,6.1,85.1,2.1,91.6,19.6,77.1,,,,,,,,
15-Pound f9 WT (5)72006,WT_female,6.99426,%gated,,,,,,,,,99.2,1.3,74.2,2,89.3,21.6,75.2,,,,,,,,
3-Pound m1 fat (1)71612,Pound_male,2.04084,%gated,,,,,,,,,99,5.7,99.2,6.3,97.8,14.2,83.7,,,,,,,,
7-Pound m2 fat (1)80722,Pound_male,2.0421,%gated,,,,,,,,,98.5,7.6,99.4,6.1,95.7,15.5,81.2,,,,,,,,
5-PLT2 f1 (6)72104,PLT2_female,4.64724,%gated,,,,,,,,,98.5,11.2,92.3,12,92.5,21.5,74.7,,,,,,,,
6-PLT2 f2(6)72538,PLT2_female,6.6582,%gated,,,,,,,,,98.6,7,97.3,10.6,94.8,19,77.4,,,,,,,,
7-PLT2 f3 (6)73015,PLT2_female,5.63958,%gated,,,,,,,,,98.5,11.7,91.8,10.9,94.8,19.7,76.6,,,,,,,,
8-PLT2 f4 (7)73449,PLT2_female,3.72852,%gated,,,,,,,,,98.8,10.3,91.1,11.6,90.6,19.7,76.6,,,,,,,,
9-PLT2 f5 (7)73909,PLT2_female,7.15806,%gated,,,,,,,,,98.7,11.6,89.2,9.2,91.7,19.4,76.7,,,,,,,,
10-PLT2 f6 (7)74345,PLT2_female,4.87674,%gated,,,,,,,,,98.5,10.2,90.4,14.8,94.1,21.3,74.8,,,,,,,,
7-PLT2 m3 (8)80234,PLT2_male,5.98266,%gated,,,,,,,,,98.9,4.5,97,22.5,96.8,20.9,76.1,,,,,,,,
PLT2 m1-11,PLT2_male,4.23864,%gated,,,,,,,,,97.8,4.1,89,86.3,1,16.7,74.9,,,,,,,,
PLT2 m2-12,PLT2_male,3.32694,%gated,,,,,,,,,97.7,3.2,90,85.4,0.9,16.5,75.3,,,,,,,,
PLT2 m3-13,PLT2_male,5.65362,%gated,,,,,,,,,97,4.8,91.2,81.2,1.2,17.4,73.4,,,,,,,,
PLT2 m4-3,PLT2_male,2.9601,%gated,,,,,,,,,99.3,4.1,97.8,89.2,1.2,16.3,75.2,,,,,,,,
PLT2 m6-5,PLT2_male,3.501,%gated,,,,,,,,,98.7,5.7,97.7,88.6,1.2,16.2,73,,,,,,,,
PLT2 f1-14,PLT2_female,4.14864,%gated,,,,,,,,,96,3.3,88.3,80.7,1.1,13.9,74.4,,,,,,,,
PLT2 f2-15,PLT2_female,3.27042,%gated,,,,,,,,,97,4.5,87,85.1,1,14.1,78.3,,,,,,,,
PLT2 f3-16,PLT2_female,2.95362,%gated,,,,,,,,,97,4.9,85.2,74.5,1,12.7,78.7,,,,,,,,
PLT2 f4-17,PLT2_female,4.99554,%gated,,,,,,,,,97.4,5.6,84.3,80.2,1.1,14.1,77.5,,,,,,,,
PLT2 f5-18,PLT2_female,3.51684,%gated,,,,,,,,,97.8,3.5,88.7,78.2,1.1,10.5,80.9,,,,,,,,
Pound female1-6,Pound_female,1.47744,%gated,,,,,,,,,98.7,5.1,97.2,87.6,1,16.8,68.7,,,,,,,,
Pound female2-7,Pound_female,2.49894,%gated,,,,,,,,,98,9.3,96.9,75.4,1.2,15,68,,,,,,,,
Pound female 3-8,Pound_female,1.29222,%gated,,,,,,,,,98.4,6.2,97.4,79.4,0.9,16,69.3,,,,,,,,
WT1 10 164949,WT_male,5.31846,%gated,,,,,,,,,99.1,4.2,81.5,1.3,94.9,15.9,81.6,,,,,,,,
WT2 11 165346,WT_male,3.94074,%gated,,,,,,,,,98.9,7.9,75.7,1.7,93.8,18,79.2,,,,,,,,
WT3 12 165734,WT_male,2.73816,%gated,,,,,,,,,98.4,6.1,80.8,2,93.6,15.7,81.4,,,,,,,,
WT5 14 170351,WT_male,4.71348,%gated,,,,,,,,,99.3,6.8,77.8,1.8,93.7,16.2,81.2,,,,,,,,
3-M PLT2 male 1 (1)-184339,PLT2_male,0.4896,Number,,,,,,,,,,,,,,,,,256355,35492,29305,5505,169971,44412,117260
4-M PLT2 male 2 (2)-184802,PLT2_male,1.71576,Number,,,,,,,,,,,,,,,,,246000,26913,19566,3761,169186,40225,122075
5-M PLT2 male 3 (3)-185137,PLT2_male,2.84736,Number,,,,,,,,,,,,,,,,,245452,33718,25054,4255,161331,37130,117676
6-M PLT2 male 4 (4)-185531,PLT2_male,5.78448,Number,,,,,,,,,,,,,,,,,240642,31211,24934,4101,155757,40966,108079
7-M PLT2 male 5 (11)-185852,PLT2_male,4.97544,Number,,,,,,,,,,,,,,,,,239212,38761,27269,3537,152002,34880,110751
